Timestamp,ctrltarget.ax,ctrltarget.ay,ctrltarget.az,ctrltarget.pitch,ctrltarget.roll,ctrltarget.yaw
144737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
144837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
144937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
145937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
146937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
147937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
148937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149637,0.0,0.0,0.0,0.0,0.0,0.0
149737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
149937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
150937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151237,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
151937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
152037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
